id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
000219da-590b-47a2-abd9-a00edd2ce5be,cocks.attorney,available,62.99,62.99,56,10,5,namesilo,,
003c0d2e-779b-469a-9343-be2366af6211,promotions.attorney,available,62.99,62.99,64,14,10,namesilo,,
0051990e-f150-4f7d-861e-5a8bde4510c0,godownhill.attorney,available,69.99,,68,1,11,name.com,,
006087f0-72ce-4d41-b5de-ad19a63ed67c,usualoffice.attorney,available,69.99,,57,0,12,name.com,,
008bce45-d210-425e-93ad-4d41fa3be21c,standingout.attorney,available,69.99,,62,2,12,name.com,,
00b457be-4deb-4a94-bddf-ee49eed06b29,pizzatopping.attorney,available,62.99,62.99,48,1,13,namesilo,,
00ca5cdd-a09c-4ecd-844f-b2b77163646a,letthefurfly.attorney,available,69.99,,47,1,15,name.com,,
00df4836-de95-47be-acee-f007971476c5,determines.attorney,available,62.99,62.99,58,1,10,namesilo,,
00e2ab7b-310c-4930-91c6-1b9074ab40b1,thickens.attorney,available,62.99,62.99,48,1,8,namesilo,,
00fbe6bc-60ed-41ce-be02-f21636260043,placeanorder.attorney,available,69.99,,72,0,14,name.com,,
01072570-d780-4962-869d-08613979c033,sneezed.attorney,available,69.99,,47,2,7,name.com,,
011e920a-95c3-41c6-80d6-f0b4ed386adc,smashup.attorney,available,69.99,,58,5,8,name.com,,
01370d7e-e540-41c7-8ade-e54beb1265fc,walked.attorney,available,69.99,,60,5,6,name.com,,
0146e307-7449-4454-8a24-7c769b7e8026,messages.attorney,available,62.99,62.99,80,16,8,namesilo,,
015fcafa-f5fc-485a-ac71-40daf9c5b939,trussbeam.attorney,available,69.99,,54,1,10,name.com,,
0169afb0-d100-4a07-b35a-a0fd08b2ec20,timetables.attorney,available,62.99,62.99,50,4,10,namesilo,,
01a369d8-0720-4e51-b592-26eb7003190f,justrewards.attorney,available,69.99,,56,3,12,name.com,,
01ab0366-d65a-46da-9081-762ea0c96082,negotiations.attorney,available,69.99,,56,6,12,name.com,,
01b2772f-6854-4c5e-b2ca-91aed0b97761,DakotaCounty.attorney,premium,138.6,138.6,52,2,13,namecheap,,
01b5a5f1-dafd-462a-831a-8d46555d61e8,lunchtime.attorney,available,69.99,,78,8,10,name.com,,
01c41aa1-3b62-40fe-a759-331410718cb2,supports.attorney,available,69.99,,64,12,8,name.com,,
01ce89a5-c0e5-44db-b8ca-3db65f1ec90c,deadoralive.attorney,available,69.99,,54,5,13,name.com,,
01f2d915-6e29-4c05-b0d8-e3012da08dd5,puts.attorney,available,69.99,,58,7,4,name.com,,
02192189-9921-4014-ba12-3e381f10f342,manyandvarious.attorney,available,69.99,,46,2,16,name.com,,
021c83a0-0100-4953-8552-6117decf4223,suits.attorney,premium,1250,,61,13,5,name.com,,
022b74c2-a903-43cd-a801-9819b917a9fc,hangover.attorney,available,69.99,,62,12,9,name.com,,
02315415-fe06-4379-9883-8ac467b3df43,chiefofstate.attorney,available,69.99,,60,1,14,name.com,,
0237aad8-de28-4db9-a9d0-2b16b7837073,makeknown.attorney,available,69.99,,78,4,10,name.com,,
024d25a6-c899-4245-96e1-e69e109a1144,gettheidea.attorney,available,69.99,,79,0,12,name.com,,
02571d8e-bf6b-4578-b9d9-55fded6869f5,subsequently.attorney,available,69.99,,58,1,12,name.com,,
026fd8a9-137e-4403-b87e-edc013b12322,QandA.attorney,available,76.98,,80,10,7,namecheap,,
0270016a-871d-4b0b-a375-5f3a1b8c877e,manytoone.attorney,available,69.99,,68,2,11,name.com,,
02775c71-bec4-490c-9293-ed593ddcaaff,selections.attorney,available,62.99,62.99,53,6,10,namesilo,,
0279f18d-ae2c-47a9-9ba2-c2c0f7119c79,taller.attorney,available,62.99,62.99,54,10,6,namesilo,,
027a95da-6afc-4a5a-b9ce-bfb4f55abfdf,inmyview.attorney,available,69.99,,48,2,10,name.com,,
02aebf57-0a11-4c61-91ef-f5e60826a205,urges.attorney,available,69.99,,51,4,5,name.com,,
02c4d6e0-fa92-4bbf-988e-03bd57286296,makethebestof.attorney,available,69.99,,72,1,16,name.com,,
02d5934e-9cfe-408c-87dc-f11ad314b916,inhospital.attorney,available,69.99,,60,1,11,name.com,,
02e16d2f-6212-4364-ad6c-d8af3af07299,makefriends.attorney,available,69.99,,88,6,12,name.com,,
02e1fe09-a4b6-4857-a82b-bba8177b6a7d,pardonme.attorney,available,69.99,,62,4,9,name.com,,
02eb974e-81c6-47f3-8605-1b695987dc80,leavenotrace.attorney,available,69.99,,68,4,14,name.com,,
02f0c5ca-5956-410e-b481-4a2f4992ee9a,twentyeight.attorney,available,69.99,,65,8,12,name.com,,
03067cfe-1a2d-409e-b276-59cf7f54b06b,loans.attorney,premium,3750,,58,24,5,name.com,,
031d9319-d1c1-4cc4-933f-dbb25b34c4da,surroundings.attorney,available,69.99,,75,4,12,name.com,,
03389a21-b10e-4ae4-899e-5101bee7de22,minimums.attorney,available,62.99,62.99,52,2,8,namesilo,,
